Year,Month,Aircraft Landing,Aircraft Take-off,Aircraft Total,Aircraft Year-on-year % change,Passenger Arrival,Passenger Departure,Passenger Total,Passenger Year-on-year % change,Freight Unloaded,Freight Loaded,Freight Total,Freight Year-on-year % change
2018,Mar,18113,18139,36252,2.8,3118370,3250254,6368624,8.8,162753,258988,421741,-2.6
2018,Apr,17701,17676,35377,1.8,3190903,3084314,6275217,0.7,145870,273854,419724,5.5
2018,May,17999,17999,35998,1.6,2995211,3018706,6013917,1.1,148006,280265,428271,4.8
2018,Jun,17666,17674,35340,2.2,3054597,3126690,6181287,5.4,150890,265120,416010,1.4
2018,Jul,18352,18347,36699,1.2,3257303,3375895,6633198,2.2,153706,271127,424833,0.5
2018,Aug,18487,18479,36966,3.8,3486029,3331597,6817626,5.4,150773,272572,423345,2.8
2018,Sep,16855,16867,33722,-2.6,2706750,2833151,5539901,-0.5,148879,274415,423294,-1.2
2018,Oct,18271,18245,36516,1.5,3176375,2974104,6150479,0.4,152730,290950,443681,3.2
2018,Nov,17714,17737,35451,1.5,3004300,2973557,5977857,1.2,150699,304682,455381,-2.2
2018,Dec,18561,18543,37104,1.2,3246289,3262566,6508855,1.9,151946,286277,438223,-5.1
2019,Jan,18263,18271,36534,1.5,3174686,3285507,6460193,6.1,133183,259569,392752,-4.1
2019,Feb,16219,16217,32436,0.3,3039630,2827076,5866706,1.1,109996,159407,269403,-14.2
2019,Mar,18371,18381,36752,1.4,3170973,3225933,6396906,0.4,147360,274847,422207,0.1
2019,Apr,17843,17823,35666,0.8,3224183,3240153,6464336,3,130021,255013,385034,-8.3
2019,May,18152,18161,36313,0.9,3091554,3118381,6209935,3.3,135693,260049,395742,-7.6
2019,Jun,17643,17657,35300,-0.1,3140102,3179588,6319690,2.2,133290,245852,379142,-8.9
2019,Jul,18427,18426,36853,0.4,3294501,3407575,6702076,1,135148,256867,392016,-7.7
2019,Aug,17857,17820,35677,-3.5,3071268,2894487,5965755,-12.5,127240,251099,378339,-10.6
2019,Sep,16691,16707,33398,-1,2362710,2472443,4835153,-12.7,135028,262098,397126,-6.2
2019,Oct,17177,17162,34339,-6,2767962,2584921,5352883,-13,138643,280586,419228,-5.5
2019,Nov,16266,16262,32528,-8.2,2493253,2520669,5013922,-16.1,139834,299704,439538,-3.5
2019,Dec,16995,17004,33999,-8.4,2826432,2873565,5699997,-12.4,141384,291678,433062,-1.2
2020,Jan,16618,16608,33226,-9.1,2779209,2922579,5701788,-11.7,115710,235638,351348,-10.5
2020,Feb,9029,8992,18021,-44.4,1005112,872606,1877718,-68,114923,131621,246544,-8.5
2020,Mar,6106,6029,12135,-67,349248,226577,575825,-91,123634,251027,374661,-11.3
2020,Apr,4705,4736,9441,-73.5,19664,12075,31739,-99.5,98730,235827,334557,-13.1
2020,May,5692,5671,11363,-68.7,25656,11767,37423,-99.4,110606,263828,374433,-5.4
2020,Jun,4981,4982,9963,-71.8,36202,22997,59199,-99.1,112905,241461,354367,-6.5
2020,Jul,4933,4940,9873,-73.2,43929,52099,96028,-98.6,119402,250074,369477,-5.7
